Gene stable ID	Gene stable ID version	Gene name	Chromosome/scaffold name
ENSMUSG00000046182	ENSMUSG00000046182.8	Gsg1l	7
ENSMUSG00000020793	ENSMUSG00000020793.5	Galr2	11
ENSMUSG00000049285	ENSMUSG00000049285.4	Mblac1	5
ENSMUSG00000087406	ENSMUSG00000087406.1	E130215H24Rik	2
ENSMUSG00000114332	ENSMUSG00000114332.1	Gm8847	13
ENSMUSG00000114360	ENSMUSG00000114360.1	Gm48596	13
ENSMUSG00000089987	ENSMUSG00000089987.2	Gpx2-ps1	7
ENSMUSG00000103213	ENSMUSG00000103213.1	Gm38289	10
ENSMUSG00000112716	ENSMUSG00000112716.1	4930471E19Rik	10
ENSMUSG00000023883	ENSMUSG00000023883.13	Phf10	17
ENSMUSG00000108376	ENSMUSG00000108376.1	Gm44874	7
ENSMUSG00000103017	ENSMUSG00000103017.1	Gm37505	10
ENSMUSG00000009145	ENSMUSG00000009145.6	Dqx1	6
ENSMUSG00000078185	ENSMUSG00000078185.3	Chml	1
ENSMUSG00000059316	ENSMUSG00000059316.2	Slc27a4	2
ENSMUSG00000085148	ENSMUSG00000085148.1	Mir22hg	11
ENSMUSG00000089783	ENSMUSG00000089783.1	Gm454	5
ENSMUSG00000090062	ENSMUSG00000090062.2	Galnt6os	15
ENSMUSG00000112757	ENSMUSG00000112757.1	Gm10743	10
ENSMUSG00000030204	ENSMUSG00000030204.10	Ddx47	6
ENSMUSG00000106338	ENSMUSG00000106338.1	Gm43645	5
ENSMUSG00000086424	ENSMUSG00000086424.1	Gm15569	15
ENSMUSG00000037280	ENSMUSG00000037280.12	Galnt6	15
ENSMUSG00000026525	ENSMUSG00000026525.9	Opn3	1
ENSMUSG00000050199	ENSMUSG00000050199.13	Lgr4	2
ENSMUSG00000035891	ENSMUSG00000035891.16	Cerk	15
ENSMUSG00000097882	ENSMUSG00000097882.2	0610038B21Rik	8
ENSMUSG00000038217	ENSMUSG00000038217.13	Tlcd2	11
ENSMUSG00000026457	ENSMUSG00000026457.14	Adipor1	1
ENSMUSG00000109873	ENSMUSG00000109873.1	Gm45407	8
ENSMUSG00000085134	ENSMUSG00000085134.1	Gm11659	11
ENSMUSG00000109807	ENSMUSG00000109807.1	Gm45244	8
ENSMUSG00000116498	ENSMUSG00000116498.1	Gm38563	15
ENSMUSG00000018796	ENSMUSG00000018796.13	Acsl1	8
ENSMUSG00000114299	ENSMUSG00000114299.1	Gm47791	1
ENSMUSG00000033080	ENSMUSG00000033080.9	Vsx1	2
ENSMUSG00000086097	ENSMUSG00000086097.1	Gm16250	13
ENSMUSG00000075181	ENSMUSG00000075181.1	Olfr1066	2
ENSMUSG00000099771	ENSMUSG00000099771.1	Gm19257	1
ENSMUSG00000000215	ENSMUSG00000000215.11	Ins2	7
ENSMUSG00000102280	ENSMUSG00000102280.1	Gm36999	1
ENSMUSG00000080752	ENSMUSG00000080752.2	Olfr1069-ps1	2
ENSMUSG00000100170	ENSMUSG00000100170.1	Gm28942	1
ENSMUSG00000100744	ENSMUSG00000100744.1	Gm17764	1
ENSMUSG00000086563	ENSMUSG00000086563.1	Platr15	2
ENSMUSG00000111643	ENSMUSG00000111643.1	Gm48628	2
ENSMUSG00000050088	ENSMUSG00000050088.9	1600012H06Rik	17
ENSMUSG00000116000	ENSMUSG00000116000.1	Gm49497	15
ENSMUSG00000111736	ENSMUSG00000111736.1	Olfr1070-ps1	2
ENSMUSG00000100630	ENSMUSG00000100630.1	Gm28450	2
ENSMUSG00000060459	ENSMUSG00000060459.14	Kng2	16
ENSMUSG00000051048	ENSMUSG00000051048.17	P4ha3	7
ENSMUSG00000111772	ENSMUSG00000111772.2	Olfr228	2
ENSMUSG00000035314	ENSMUSG00000035314.10	Gdpd5	7
ENSMUSG00000028037	ENSMUSG00000028037.13	Ifi44	3
ENSMUSG00000111518	ENSMUSG00000111518.1	Olfr1073-ps1	2
ENSMUSG00000082547	ENSMUSG00000082547.2	Olfr1073-ps1	2
ENSMUSG00000116299	ENSMUSG00000116299.1	Gm29904	15
ENSMUSG00000031832	ENSMUSG00000031832.15	Taf1c	8
ENSMUSG00000026523	ENSMUSG00000026523.14	Wdr64	1
ENSMUSG00000110999	ENSMUSG00000110999.1	Olfr1075-ps1	2
ENSMUSG00000086453	ENSMUSG00000086453.7	Gm11457	2
ENSMUSG00000111105	ENSMUSG00000111105.1	Gm5023	2
ENSMUSG00000046006	ENSMUSG00000046006.6	Gapt	13
ENSMUSG00000060742	ENSMUSG00000060742.1	Olfr1076	2
ENSMUSG00000105084	ENSMUSG00000105084.1	Gm43365	5
ENSMUSG00000093492	ENSMUSG00000093492.1	Gm20651	4
ENSMUSG00000017299	ENSMUSG00000017299.13	Dnttip1	2
ENSMUSG00000113962	ENSMUSG00000113962.1	Gm47618	12
ENSMUSG00000042308	ENSMUSG00000042308.14	Setd1a	7
ENSMUSG00000108398	ENSMUSG00000108398.1	Gm30191	4
ENSMUSG00000074916	ENSMUSG00000074916.5	Chst14	2
ENSMUSG00000113562	ENSMUSG00000113562.1	Gm47619	12
ENSMUSG00000002897	ENSMUSG00000002897.5	Il17ra	6
ENSMUSG00000105583	ENSMUSG00000105583.1	Gm43777	5
ENSMUSG00000113845	ENSMUSG00000113845.1	Gm39473	12
ENSMUSG00000038011	ENSMUSG00000038011.15	Dnah10	5
ENSMUSG00000113974	ENSMUSG00000113974.1	4930442G10Rik	12
ENSMUSG00000084802	ENSMUSG00000084802.1	Gm14089	2
ENSMUSG00000062365	ENSMUSG00000062365.4	Gm4968	6
ENSMUSG00000105730	ENSMUSG00000105730.1	Gm43838	5
ENSMUSG00000107013	ENSMUSG00000107013.1	Gm43635	6
ENSMUSG00000081413	ENSMUSG00000081413.3	Uqcrh-ps2	2
ENSMUSG00000081113	ENSMUSG00000081113.1	Gm7308	6
ENSMUSG00000105443	ENSMUSG00000105443.1	Gm43837	5
ENSMUSG00000101061	ENSMUSG00000101061.1	Platr1	1
ENSMUSG00000100911	ENSMUSG00000100911.2	1700027F09Rik	5
ENSMUSG00000107153	ENSMUSG00000107153.1	Gm38404	6
ENSMUSG00000101240	ENSMUSG00000101240.1	Gm28266	9
ENSMUSG00000105105	ENSMUSG00000105105.1	Gm31363	5
ENSMUSG00000102722	ENSMUSG00000102722.1	Gm37935	1
ENSMUSG00000003352	ENSMUSG00000003352.14	Cacnb3	15
ENSMUSG00000111948	ENSMUSG00000111948.1	Gm47055	10
ENSMUSG00000080983	ENSMUSG00000080983.1	Gm5419	X
ENSMUSG00000105251	ENSMUSG00000105251.1	4930526M16Rik	5
ENSMUSG00000116504	ENSMUSG00000116504.1	I730030J21Rik	15
ENSMUSG00000044469	ENSMUSG00000044469.8	Tnfaip8l1	17
ENSMUSG00000039982	ENSMUSG00000039982.8	Dtx4	19
ENSMUSG00000039983	ENSMUSG00000039983.13	Ccdc32	2
ENSMUSG00000034402	ENSMUSG00000034402.3	Kcnh5	12
ENSMUSG00000024892	ENSMUSG00000024892.17	Pcx	19
ENSMUSG00000094626	ENSMUSG00000094626.1	Tmem121b	6
ENSMUSG00000115270	ENSMUSG00000115270.1	5430430K15Rik	14
ENSMUSG00000115084	ENSMUSG00000115084.1	Gm49246	15
ENSMUSG00000104094	ENSMUSG00000104094.1	Gm37314	9
ENSMUSG00000104061	ENSMUSG00000104061.1	Gm37953	9
ENSMUSG00000031831	ENSMUSG00000031831.6	Dnaaf1	8
ENSMUSG00000109826	ENSMUSG00000109826.1	Gm45658	8
ENSMUSG00000102452	ENSMUSG00000102452.1	Gm38344	9
ENSMUSG00000103672	ENSMUSG00000103672.1	Gm37621	9
ENSMUSG00000109993	ENSMUSG00000109993.1	Gm45659	8
ENSMUSG00000112398	ENSMUSG00000112398.1	9230102K24Rik	10
ENSMUSG00000104392	ENSMUSG00000104392.1	Gm37962	9
ENSMUSG00000087298	ENSMUSG00000087298.3	Gm9392	7
ENSMUSG00000109856	ENSMUSG00000109856.1	Gm19855	8
ENSMUSG00000021484	ENSMUSG00000021484.8	Lman2	13
ENSMUSG00000022175	ENSMUSG00000022175.9	Lrp10	14
ENSMUSG00000043154	ENSMUSG00000043154.15	Ppp2r3a	9
ENSMUSG00000006599	ENSMUSG00000006599.13	Gtf2h1	7
ENSMUSG00000102378	ENSMUSG00000102378.1	Gm37972	8
ENSMUSG00000110409	ENSMUSG00000110409.1	Gm9908	8
ENSMUSG00000097072	ENSMUSG00000097072.7	Foxl2os	9
ENSMUSG00000108402	ENSMUSG00000108402.1	9430064I24Rik	7
ENSMUSG00000108815	ENSMUSG00000108815.1	Gm49388	7
ENSMUSG00000058613	ENSMUSG00000058613.6	Cyp2d41-ps	15
ENSMUSG00000055835	ENSMUSG00000055835.10	Zfp1	8
ENSMUSG00000022940	ENSMUSG00000022940.17	Pigp	16
ENSMUSG00000020792	ENSMUSG00000020792.15	Exoc7	11
ENSMUSG00000117872	ENSMUSG00000117872.1	A530088E08Rik	17
ENSMUSG00000081378	ENSMUSG00000081378.1	Rps13-ps4	8
ENSMUSG00000050397	ENSMUSG00000050397.4	Foxl2	9
ENSMUSG00000115918	ENSMUSG00000115918.1	A930001M01Rik	15
ENSMUSG00000033068	ENSMUSG00000033068.16	Entpd6	2
ENSMUSG00000105352	ENSMUSG00000105352.4	C030018K13Rik	5
ENSMUSG00000079563	ENSMUSG00000079563.10	Pglyrp2	17
ENSMUSG00000051864	ENSMUSG00000051864.10	Tbc1d22a	15
ENSMUSG00000106566	ENSMUSG00000106566.1	Gm43836	5
ENSMUSG00000026568	ENSMUSG00000026568.6	Mpc2	1
ENSMUSG00000030652	ENSMUSG00000030652.11	Coq7	7
ENSMUSG00000115767	ENSMUSG00000115767.1	Gm10366	14
ENSMUSG00000104961	ENSMUSG00000104961.1	Gm43835	5
ENSMUSG00000104806	ENSMUSG00000104806.1	Gm42566	5
ENSMUSG00000082357	ENSMUSG00000082357.1	Gm13542	2
ENSMUSG00000117046	ENSMUSG00000117046.1	Gm19183	17
ENSMUSG00000086213	ENSMUSG00000086213.2	A330040F15Rik	19
ENSMUSG00000099746	ENSMUSG00000099746.1	Ppnr	19
ENSMUSG00000055471	ENSMUSG00000055471.7	Alk	17
ENSMUSG00000027544	ENSMUSG00000027544.16	Nfatc2	2
ENSMUSG00000051452	ENSMUSG00000051452.8	Gm11437	11
ENSMUSG00000036983	ENSMUSG00000036983.7	Tfb1m	17
ENSMUSG00000024691	ENSMUSG00000024691.13	Fam111a	19
ENSMUSG00000034744	ENSMUSG00000034744.13	Nagk	6
ENSMUSG00000058979	ENSMUSG00000058979.7	Hdhd5	6
ENSMUSG00000103763	ENSMUSG00000103763.1	Gm37860	1
ENSMUSG00000109046	ENSMUSG00000109046.1	Gm44571	7
ENSMUSG00000078192	ENSMUSG00000078192.5	Gm7290	7
ENSMUSG00000020532	ENSMUSG00000020532.18	Acaca	11
ENSMUSG00000068009	ENSMUSG00000068009.11	Bpifb6	2
ENSMUSG00000008496	ENSMUSG00000008496.19	Pou2f2	7
ENSMUSG00000099137	ENSMUSG00000099137.1	Gm10603	7
ENSMUSG00000035298	ENSMUSG00000035298.8	Klhl35	7
ENSMUSG00000024985	ENSMUSG00000024985.19	Tcf7l2	19
ENSMUSG00000108952	ENSMUSG00000108952.1	Gm39117	7
ENSMUSG00000073781	ENSMUSG00000073781.4	Gm6471	7
ENSMUSG00000115039	ENSMUSG00000115039.1	Gm7043	17
ENSMUSG00000023800	ENSMUSG00000023800.15	Tiam2	17
ENSMUSG00000019579	ENSMUSG00000019579.13	Mydgf	17
ENSMUSG00000108338	ENSMUSG00000108338.1	Gm44794	7
ENSMUSG00000058626	ENSMUSG00000058626.16	Capn11	17
ENSMUSG00000092183	ENSMUSG00000092183.1	4930515G01Rik	5
ENSMUSG00000030516	ENSMUSG00000030516.14	Tjp1	7
ENSMUSG00000114644	ENSMUSG00000114644.1	Gm47243	19
ENSMUSG00000041870	ENSMUSG00000041870.16	Ankrd13a	5
ENSMUSG00000047248	ENSMUSG00000047248.20	C2cd3	7
ENSMUSG00000111907	ENSMUSG00000111907.1	Gm48202	10
ENSMUSG00000084836	ENSMUSG00000084836.1	Gm16274	19
ENSMUSG00000114761	ENSMUSG00000114761.1	Gm47242	19
ENSMUSG00000044544	ENSMUSG00000044544.4	4921513I03Rik	10
ENSMUSG00000000214	ENSMUSG00000000214.11	Th	7
ENSMUSG00000117247	ENSMUSG00000117247.1	Gm49923	17
ENSMUSG00000111118	ENSMUSG00000111118.1	Gm6545	19
ENSMUSG00000103047	ENSMUSG00000103047.1	Gm37310	15
ENSMUSG00000117126	ENSMUSG00000117126.1	Gm49924	17
ENSMUSG00000112872	ENSMUSG00000112872.1	Gm47058	10
ENSMUSG00000005360	ENSMUSG00000005360.14	Slc1a3	15
ENSMUSG00000101482	ENSMUSG00000101482.1	Gm28883	1
ENSMUSG00000019437	ENSMUSG00000019437.17	Tlcd1	11
ENSMUSG00000093739	ENSMUSG00000093739.1	Gm20692	6
ENSMUSG00000001403	ENSMUSG00000001403.13	Ube2c	2
ENSMUSG00000030744	ENSMUSG00000030744.13	Rps3	7
ENSMUSG00000032807	ENSMUSG00000032807.5	Alox12b	11
ENSMUSG00000116976	ENSMUSG00000116976.1	4930500H12Rik	16
ENSMUSG00000084800	ENSMUSG00000084800.1	Gm12205	11
ENSMUSG00000038708	ENSMUSG00000038708.10	Golga4	9
ENSMUSG00000092362	ENSMUSG00000092362.3	Gm20392	17
ENSMUSG00000108807	ENSMUSG00000108807.1	4833404L02Rik	7
ENSMUSG00000101932	ENSMUSG00000101932.1	Gm10074	17
ENSMUSG00000092428	ENSMUSG00000092428.1	Gm20545	17
ENSMUSG00000004328	ENSMUSG00000004328.15	Hif3a	7
ENSMUSG00000101756	ENSMUSG00000101756.1	Gm29402	17
ENSMUSG00000029072	ENSMUSG00000029072.3	Tas1r3	4
ENSMUSG00000092612	ENSMUSG00000092612.2	Gm18604	17
ENSMUSG00000092363	ENSMUSG00000092363.1	Gm20391	17
ENSMUSG00000104621	ENSMUSG00000104621.1	Gm43185	3
ENSMUSG00000092392	ENSMUSG00000092392.1	Gm20546	17
ENSMUSG00000061360	ENSMUSG00000061360.8	Phf5a	15
ENSMUSG00000092502	ENSMUSG00000092502.1	Gm4252	17
ENSMUSG00000090021	ENSMUSG00000090021.2	Gm6493	16
ENSMUSG00000079020	ENSMUSG00000079020.9	Slc45a4	15
ENSMUSG00000092317	ENSMUSG00000092317.1	Gm6633	17
ENSMUSG00000029071	ENSMUSG00000029071.16	Dvl1	4
ENSMUSG00000030364	ENSMUSG00000030364.6	Clec2h	6
ENSMUSG00000109575	ENSMUSG00000109575.1	Gm44831	7
ENSMUSG00000000805	ENSMUSG00000000805.18	Car4	11
ENSMUSG00000028167	ENSMUSG00000028167.15	Bdh2	3
ENSMUSG00000025326	ENSMUSG00000025326.12	Ube3a	7
ENSMUSG00000062937	ENSMUSG00000062937.7	Mtap	4
ENSMUSG00000105402	ENSMUSG00000105402.4	Gm3716	5
ENSMUSG00000082347	ENSMUSG00000082347.1	Gm15036	X
ENSMUSG00000000916	ENSMUSG00000000916.15	Nsun5	5
ENSMUSG00000017300	ENSMUSG00000017300.9	Tnnc2	2
ENSMUSG00000104120	ENSMUSG00000104120.1	Gm37484	9
ENSMUSG00000089815	ENSMUSG00000089815.7	Gm5083	13
ENSMUSG00000089814	ENSMUSG00000089814.1	Gm15310	16
ENSMUSG00000104928	ENSMUSG00000104928.1	Gm42565	5
ENSMUSG00000105183	ENSMUSG00000105183.1	Gm42564	5
ENSMUSG00000068008	ENSMUSG00000068008.8	Bpifb3	2
ENSMUSG00000097668	ENSMUSG00000097668.2	Gm26761	5
ENSMUSG00000053765	ENSMUSG00000053765.4	Oas1f	5
ENSMUSG00000045948	ENSMUSG00000045948.8	Mrps12	7
ENSMUSG00000018412	ENSMUSG00000018412.16	Kansl1	11
ENSMUSG00000031696	ENSMUSG00000031696.9	Vps35	8
ENSMUSG00000102964	ENSMUSG00000102964.1	9430034N14Rik	1
ENSMUSG00000087135	ENSMUSG00000087135.7	Gm16096	9
ENSMUSG00000050565	ENSMUSG00000050565.16	Tor1aip2	1
ENSMUSG00000097981	ENSMUSG00000097981.1	Gm7583	7
ENSMUSG00000027322	ENSMUSG00000027322.11	Siglec1	2
ENSMUSG00000028737	ENSMUSG00000028737.15	Aldh4a1	4
ENSMUSG00000098193	ENSMUSG00000098193.1	Gm26963	17
ENSMUSG00000021890	ENSMUSG00000021890.6	Eaf1	14
ENSMUSG00000086014	ENSMUSG00000086014.1	Gm16095	9
ENSMUSG00000116040	ENSMUSG00000116040.1	Gm49464	15
ENSMUSG00000111794	ENSMUSG00000111794.1	Gm48294	9
ENSMUSG00000032024	ENSMUSG00000032024.10	Clmp	9
ENSMUSG00000116303	ENSMUSG00000116303.1	Gm49465	15
ENSMUSG00000097697	ENSMUSG00000097697.2	4833412C05Rik	7
ENSMUSG00000083989	ENSMUSG00000083989.2	Gm12607	4
ENSMUSG00000116171	ENSMUSG00000116171.1	4930543I03Rik	15
ENSMUSG00000100728	ENSMUSG00000100728.1	Gm29431	13
ENSMUSG00000006724	ENSMUSG00000006724.12	Cyp27b1	10
ENSMUSG00000115957	ENSMUSG00000115957.1	Gm49466	15
ENSMUSG00000109464	ENSMUSG00000109464.1	Gm34350	7
ENSMUSG00000109193	ENSMUSG00000109193.1	Gm39027	7
ENSMUSG00000068327	ENSMUSG00000068327.5	Tlx2	6
ENSMUSG00000115154	ENSMUSG00000115154.1	Gm49067	14
ENSMUSG00000115866	ENSMUSG00000115866.1	Gm49467	15
ENSMUSG00000028868	ENSMUSG00000028868.13	Wasf2	4
ENSMUSG00000109152	ENSMUSG00000109152.1	Gm44666	7
ENSMUSG00000116296	ENSMUSG00000116296.1	Gm49468	15
ENSMUSG00000022218	ENSMUSG00000022218.16	Tgm1	14
ENSMUSG00000116353	ENSMUSG00000116353.1	Gm49469	15
ENSMUSG00000024266	ENSMUSG00000024266.8	Adad2	8
ENSMUSG00000058546	ENSMUSG00000058546.8	Rpl23a	11
ENSMUSG00000021891	ENSMUSG00000021891.8	Mettl6	14
ENSMUSG00000111189	ENSMUSG00000111189.1	Gm48293	9
ENSMUSG00000110627	ENSMUSG00000110627.1	Gm18935	9
ENSMUSG00000028738	ENSMUSG00000028738.14	Tas1r2	4
ENSMUSG00000041890	ENSMUSG00000041890.17	Git2	5
ENSMUSG00000053293	ENSMUSG00000053293.9	Pom121	5
ENSMUSG00000022445	ENSMUSG00000022445.7	Cyp2d26	15
ENSMUSG00000113458	ENSMUSG00000113458.1	Gm33684	13
ENSMUSG00000019102	ENSMUSG00000019102.10	Aldh3a1	11
ENSMUSG00000107744	ENSMUSG00000107744.1	1700072O05Rik	6
ENSMUSG00000029189	ENSMUSG00000029189.10	Sel1l3	5
ENSMUSG00000116746	ENSMUSG00000116746.1	Gm18825	16
ENSMUSG00000107901	ENSMUSG00000107901.1	Gm44074	6
ENSMUSG00000107580	ENSMUSG00000107580.1	Gm44124	6
ENSMUSG00000110140	ENSMUSG00000110140.1	5430421F17Rik	8
ENSMUSG00000102414	ENSMUSG00000102414.1	Gm36938	1
ENSMUSG00000094439	ENSMUSG00000094439.1	Gm21969	4
ENSMUSG00000020427	ENSMUSG00000020427.11	Igfbp3	11
ENSMUSG00000026413	ENSMUSG00000026413.12	Pkp1	1
ENSMUSG00000116806	ENSMUSG00000116806.1	Gm49680	16
ENSMUSG00000019856	ENSMUSG00000019856.14	Fam184a	10
ENSMUSG00000009248	ENSMUSG00000009248.6	Ascl2	7
ENSMUSG00000116642	ENSMUSG00000116642.1	Gm18168	16
ENSMUSG00000110110	ENSMUSG00000110110.1	Gm30978	8
ENSMUSG00000116280	ENSMUSG00000116280.1	Gm49435	15
ENSMUSG00000041025	ENSMUSG00000041025.15	Iffo2	4
ENSMUSG00000090559	ENSMUSG00000090559.1	Gm17137	7
ENSMUSG00000038733	ENSMUSG00000038733.14	Wdr26	1
ENSMUSG00000039748	ENSMUSG00000039748.11	Exo1	1
ENSMUSG00000110172	ENSMUSG00000110172.1	Gm39147	8
ENSMUSG00000099622	ENSMUSG00000099622.1	Gm29188	1
ENSMUSG00000000131	ENSMUSG00000000131.15	Xpo6	7
ENSMUSG00000102628	ENSMUSG00000102628.1	Gm37671	1
ENSMUSG00000100595	ENSMUSG00000100595.1	Gm19087	1
ENSMUSG00000053641	ENSMUSG00000053641.9	Dennd4a	9
ENSMUSG00000042246	ENSMUSG00000042246.5	Tmc7	7
ENSMUSG00000097426	ENSMUSG00000097426.1	Gm8941	1
